Nº;RED;NIVEL;IPRESS;MES;AÑO;INDICADOR;SUB INDICADOR;NUMERADOR;DENOMINADOR
3843;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;MARZO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;14,598;6,546
3844;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;ABRIL;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;NO INF;5,904
3845;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;MAYO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;17,062;6,456
3846;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;JUNIO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;16,822;6,789
3847;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;JULIO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;16,007;5,791
3848;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;AGOSTO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;11,302;6,319
3849;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;SETIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;17,734;6,877
3850;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;OCTUBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;NO INF.;7,487
3851;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;NOVIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;14,533;7,297
3852;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;DICIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;13,109;5,818
3853;H REF LA CALETA;II-2;H REF LA CALETA;ENERO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;3,834;3,250
3854;H REF LA CALETA;II-2;H REF LA CALETA;FEBRERO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;4,020;4,084
3855;H REF LA CALETA;II-2;H REF LA CALETA;MARZO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;4,353;4,125
3856;H REF LA CALETA;II-2;H REF LA CALETA;ABRIL;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;5,122;4,328
3857;H REF LA CALETA;II-2;H REF LA CALETA;MAYO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;7,383;4,399
3858;H REF LA CALETA;II-2;H REF LA CALETA;JUNIO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;8,968;4,159
3859;H REF LA CALETA;II-2;H REF LA CALETA;JULIO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;8,004;3,932
3860;H REF LA CALETA;II-2;H REF LA CALETA;AGOSTO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;7,556;3,990
3861;H REF LA CALETA;II-2;H REF LA CALETA;SETIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;9,815;4,427
3862;H REF LA CALETA;II-2;H REF LA CALETA;OCTUBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;9,305;4,610
3863;H REF LA CALETA;II-2;H REF LA CALETA;NOVIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;7,736;5,194
3864;H REF LA CALETA;II-2;H REF LA CALETA;DICIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;6,466;4,108
3865;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;ENERO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,244;836
3866;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;FEBRERO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;2,015;872
3867;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;MARZO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;2,143;758
3868;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;ABRIL;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;2,141;969
3869;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;MAYO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;877;1,208
3870;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;JUNIO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;512;1,378
3871;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;JULIO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,089;1,251
3872;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;AGOSTO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,212;1,248
3873;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;SETIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,125;1,046
3874;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;OCTUBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,187;1,059
3875;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;NOVIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;215;932
3876;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;DICIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;188;805
3877;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;ENERO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,070;1,198
3878;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;FEBRERO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,324;561
3879;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;MARZO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,070;
3880;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;ABRIL;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,458;1,727
3881;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;MAYO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;;
3882;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;JUNIO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;898;3,117
3883;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;JULIO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,211;3,698
3884;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;AGOSTO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;793;4,199
3885;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;SETIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,222;5,137
3886;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;OCTUBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;2,651;5,995
3887;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;NOVIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,229;6,577
3888;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;DICIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,024;7,120
3889;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;ENERO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;889;567
3890;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;FEBRERO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,728;540
3891;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;MARZO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,387;560
3892;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;ABRIL;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;985;492
3893;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;MAYO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,328;612
3894;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;JUNIO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,049;643
3895;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;JULIO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,782;548
3896;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;AGOSTO;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,577;707
3897;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;SETIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;2,142;771
3898;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;OCTUBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;1,409;673
3899;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;NOVIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;2,085;747
3900;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;DICIEMBRE;2023;B. INDICADORES DE EFICIENCIA;5 Promedio de Análisis de Laboratorio por Consulta Externa;;
3901;DIRES ANCASH;DIRESA;DIRES ANCASH;ENERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;11,037;2,876
3902;DIRES ANCASH;DIRESA;DIRES ANCASH;FEBRERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;9,601;2,618
3903;DIRES ANCASH;DIRESA;DIRES ANCASH;MARZO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;10,752;2,795
3904;DIRES ANCASH;DIRESA;DIRES ANCASH;ABRIL;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;10,757;2,808
3905;DIRES ANCASH;DIRESA;DIRES ANCASH;MAYO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;10,524;2,906
3906;DIRES ANCASH;DIRESA;DIRES ANCASH;JUNIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;10,272;2,745
3907;DIRES ANCASH;DIRESA;DIRES ANCASH;JULIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;11,233;2,972
3908;DIRES ANCASH;DIRESA;DIRES ANCASH;AGOSTO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;11,056;2,946
3909;DIRES ANCASH;DIRESA;DIRES ANCASH;SETIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;10,820;2,941
3910;DIRES ANCASH;DIRESA;DIRES ANCASH;OCTUBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;11,357;2,991
3911;DIRES ANCASH;DIRESA;DIRES ANCASH;NOVIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;10,756;2,788
3912;DIRES ANCASH;DIRESA;DIRES ANCASH;DICIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;10,792;2,827
3913;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ENERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;67;31
3914;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;FEBRERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;57;30
3915;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MARZO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;72;31
3916;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ABRIL;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;84;30
3917;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MAYO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;56;23
3918;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;JUNIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;43;21
3919;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;JULIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;66;29
3920;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;AGOSTO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;64;29
3921;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;SETIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;64;29
3922;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;OCTUBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;35;17
3923;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;NOVIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;56;32
3924;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;DICIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;44;26
3925;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ENERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;4,003;828
3926;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;FEBRERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;3,429;738
3927;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MARZO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;3,838;793
3928;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ABRIL;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;3,524;715
3929;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MAYO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;3,746;838
3930;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;JUNIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;3,457;790
3931;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;JULIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;4,134;845
3932;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;AGOSTO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;4,059;805
3933;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;SETIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;3,720;789
3934;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;OCTUBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;3,828;747
3935;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;NOVIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;3,729;739
3936;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;DICIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;3,833;796
3937;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;ENERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;227;80
3938;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;FEBRERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;222;99
3939;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;MARZO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;261;92
3940;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;ABRIL;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;226;80
3941;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;MAYO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;212;91
3942;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;JUNIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;290;102
3943;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;JULIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;242;93
3944;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;AGOSTO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;196;79
3945;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;SETIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;313;96
3946;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;OCTUBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;200;92
3947;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;NOVIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;269;103
3948;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;DICIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;205;80
3949;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;ENERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;187;72
3950;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;FEBRERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;119;44
3951;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;MARZO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;173;62
3952;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;ABRIL;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;263;92
3953;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;MAYO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;193;69
3954;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;JUNIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;171;74
3955;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;JULIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;208;87
3956;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;AGOSTO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;230;80
3957;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;SETIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;232;93
3958;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;OCTUBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;253;87
3959;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;NOVIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;201;78
3960;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;DICIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;201;74
3961;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;ENERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;340;140
3962;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;FEBRERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;446;182
3963;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;MARZO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;408;155
3964;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;ABRIL;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;309;133
3965;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;MAYO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;417;163
3966;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;JUNIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;414;158
3967;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;JULIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;396;175
3968;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;AGOSTO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;396;175
3969;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;SETIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;335;129
3970;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;OCTUBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;395;142
3971;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;NOVIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;299;134
3972;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;DICIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;347;135
3973;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;ENERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;112;45
3974;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;FEBRERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;99;42
3975;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;MARZO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;124;40
3976;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;ABRIL;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;116;49
3977;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;MAYO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;99;47
3978;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;JUNIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;104;37
3979;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;JULIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;134;53
3980;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;AGOSTO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;184;73
3981;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;SETIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;227;73
3982;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;OCTUBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;136;58
3983;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;NOVIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;108;51
3984;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;DICIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;110;47
3985;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;ENERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;343;113
3986;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;FEBRERO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;321;105
3987;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;MARZO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;316;109
3988;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;ABRIL;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;404;126
3989;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;MAYO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;349;128
3990;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;JUNIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;437;139
3991;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;JULIO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;413;132
3992;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;AGOSTO;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;307;119
3993;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;SETIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;368;120
3994;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;OCTUBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;419;131
3995;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;NOVIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;318;107
3996;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;DICIEMBRE;2019;B. INDICADORES DE EFICIENCIA;6 Promedio de Permanencia;324;126
